# Park factors: approximate 2022-2024 multi-year averages (FanGraphs / Baseball Reference), centered at 1.0 = neutral. park_id = MLB Stats API venue id; name matches the API venue name (fact_game.venue). handedness = batter side the park favors (rhb/lhb/neutral). Sutter Health Park (Athletics) only hosted MLB from 2025, so its factors use 2025 data. Readers should skip lines starting with '#'.
park_id,name,team_id,team_name,run_factor,hr_factor,handedness
1,Angel Stadium,108,Los Angeles Angels,0.99,1.02,neutral
15,Chase Field,109,Arizona Diamondbacks,1.03,1.02,neutral
2,Oriole Park at Camden Yards,110,Baltimore Orioles,0.98,0.94,lhb
3,Fenway Park,111,Boston Red Sox,1.05,0.97,rhb
17,Wrigley Field,112,Chicago Cubs,1.00,1.00,neutral
2602,Great American Ball Park,113,Cincinnati Reds,1.03,1.15,neutral
5,Progressive Field,114,Cleveland Guardians,0.98,0.95,neutral
19,Coors Field,115,Colorado Rockies,1.15,1.10,neutral
2394,Comerica Park,116,Detroit Tigers,0.97,0.94,neutral
2392,Daikin Park,117,Houston Astros,0.99,1.02,rhb
7,Kauffman Stadium,118,Kansas City Royals,1.02,0.90,neutral
22,Dodger Stadium,119,Los Angeles Dodgers,0.98,1.05,neutral
3312,Nationals Park,120,Washington Nationals,1.00,1.00,neutral
3313,Citi Field,121,New York Mets,0.96,0.97,neutral
2529,Sutter Health Park,133,Athletics,1.04,1.07,neutral
31,PNC Park,134,Pittsburgh Pirates,0.97,0.90,lhb
2680,Petco Park,135,San Diego Padres,0.95,0.94,neutral
680,T-Mobile Park,136,Seattle Mariners,0.94,0.88,neutral
2395,Oracle Park,137,San Francisco Giants,0.94,0.85,rhb
2889,Busch Stadium,138,St. Louis Cardinals,0.96,0.93,neutral
12,Tropicana Field,139,Tampa Bay Rays,0.96,0.95,neutral
5325,Globe Life Field,140,Texas Rangers,1.01,1.04,neutral
14,Rogers Centre,141,Toronto Blue Jays,1.01,1.05,neutral
3309,Target Field,142,Minnesota Twins,0.99,0.98,neutral
2681,Citizens Bank Park,143,Philadelphia Phillies,1.02,1.10,neutral
4705,Truist Park,144,Atlanta Braves,1.01,1.03,neutral
4,Rate Field,145,Chicago White Sox,1.01,1.08,neutral
4169,loanDepot park,146,Miami Marlins,0.94,0.90,neutral
3289,Yankee Stadium,147,New York Yankees,1.00,1.08,lhb
32,American Family Field,158,Milwaukee Brewers,1.00,1.05,neutral
